"","Territorial_Authority","Anzsoc_Division","Total_Victimisations"
"217","Rangitikei District","Unlawful Entry With Intent/Burglary, Break and Enter",88
"218","Rotorua District","Abduction, Harassment and Other Related Offences Against a Person",1
"219","Rotorua District","Acts Intended to Cause Injury",1207
"220","Rotorua District","Robbery, Extortion and Related Offences",38
"221","Rotorua District","Sexual Assault and Related Offences",50
"222","Rotorua District","Theft and Related Offences",2830
"223","Rotorua District","Unlawful Entry With Intent/Burglary, Break and Enter",701
"224","Ruapehu District","Abduction, Harassment and Other Related Offences Against a Person",1
"225","Ruapehu District","Acts Intended to Cause Injury",151
"226","Ruapehu District","Robbery, Extortion and Related Offences",4
"227","Ruapehu District","Sexual Assault and Related Offences",15
"228","Ruapehu District","Theft and Related Offences",139
"229","Ruapehu District","Unlawful Entry With Intent/Burglary, Break and Enter",107
"230","Selwyn District","Abduction, Harassment and Other Related Offences Against a Person",1
"231","Selwyn District","Acts Intended to Cause Injury",217
"232","Selwyn District","Robbery, Extortion and Related Offences",27
"233","Selwyn District","Sexual Assault and Related Offences",30
"234","Selwyn District","Theft and Related Offences",530
"235","Selwyn District","Unlawful Entry With Intent/Burglary, Break and Enter",242
"236","South Taranaki District","Abduction, Harassment and Other Related Offences Against a Person",1
"237","South Taranaki District","Acts Intended to Cause Injury",251
"238","South Taranaki District","Robbery, Extortion and Related Offences",15
"239","South Taranaki District","Sexual Assault and Related Offences",20
"240","South Taranaki District","Theft and Related Offences",448
"241","South Taranaki District","Unlawful Entry With Intent/Burglary, Break and Enter",252
"242","South Waikato District","Abduction, Harassment and Other Related Offences Against a Person",2
"243","South Waikato District","Acts Intended to Cause Injury",279
"244","South Waikato District","Robbery, Extortion and Related Offences",10
"245","South Waikato District","Sexual Assault and Related Offences",33
"246","South Waikato District","Theft and Related Offences",457
"247","South Waikato District","Unlawful Entry With Intent/Burglary, Break and Enter",261
"248","South Wairarapa District","Acts Intended to Cause Injury",78
"249","South Wairarapa District","Robbery, Extortion and Related Offences",2
"250","South Wairarapa District","Sexual Assault and Related Offences",6
"251","South Wairarapa District","Theft and Related Offences",99
"252","South Wairarapa District","Unlawful Entry With Intent/Burglary, Break and Enter",47
"253","Southland District","Abduction, Harassment and Other Related Offences Against a Person",1
"254","Southland District","Acts Intended to Cause Injury",104
"255","Southland District","Robbery, Extortion and Related Offences",4
"256","Southland District","Sexual Assault and Related Offences",27
"257","Southland District","Theft and Related Offences",139
"258","Southland District","Unlawful Entry With Intent/Burglary, Break and Enter",154
"259","Stratford District","Acts Intended to Cause Injury",48
"260","Stratford District","Robbery, Extortion and Related Offences",2
"261","Stratford District","Sexual Assault and Related Offences",8
"262","Stratford District","Theft and Related Offences",106
"263","Stratford District","Unlawful Entry With Intent/Burglary, Break and Enter",73
"264","Tararua District","Abduction, Harassment and Other Related Offences Against a Person",1
"265","Tararua District","Acts Intended to Cause Injury",139
"266","Tararua District","Robbery, Extortion and Related Offences",8
"267","Tararua District","Sexual Assault and Related Offences",20
"268","Tararua District","Theft and Related Offences",236
"269","Tararua District","Unlawful Entry With Intent/Burglary, Break and Enter",123
"270","Tasman District","Abduction, Harassment and Other Related Offences Against a Person",3
"271","Tasman District","Acts Intended to Cause Injury",237
"272","Tasman District","Robbery, Extortion and Related Offences",20
"273","Tasman District","Sexual Assault and Related Offences",34
"274","Tasman District","Theft and Related Offences",565
"275","Tasman District","Unlawful Entry With Intent/Burglary, Break and Enter",208
"276","Taupo District","Abduction, Harassment and Other Related Offences Against a Person",3
"277","Taupo District","Acts Intended to Cause Injury",384
"278","Taupo District","Robbery, Extortion and Related Offences",22
"279","Taupo District","Sexual Assault and Related Offences",45
"280","Taupo District","Theft and Related Offences",908
"281","Taupo District","Unlawful Entry With Intent/Burglary, Break and Enter",300
"282","Tauranga City","Abduction, Harassment and Other Related Offences Against a Person",6
"283","Tauranga City","Acts Intended to Cause Injury",1214
"284","Tauranga City","Robbery, Extortion and Related Offences",74
"285","Tauranga City","Sexual Assault and Related Offences",141
"286","Tauranga City","Theft and Related Offences",3956
"287","Tauranga City","Unlawful Entry With Intent/Burglary, Break and Enter",1002
"288","Thames-Coromandel District","Acts Intended to Cause Injury",213
"289","Thames-Coromandel District","Robbery, Extortion and Related Offences",16
"290","Thames-Coromandel District","Sexual Assault and Related Offences",19
"291","Thames-Coromandel District","Theft and Related Offences",434
"292","Thames-Coromandel District","Unlawful Entry With Intent/Burglary, Break and Enter",247
"293","Timaru District","Abduction, Harassment and Other Related Offences Against a Person",2
"294","Timaru District","Acts Intended to Cause Injury",221
"295","Timaru District","Robbery, Extortion and Related Offences",8
"296","Timaru District","Sexual Assault and Related Offences",37
"297","Timaru District","Theft and Related Offences",485
"298","Timaru District","Unlawful Entry With Intent/Burglary, Break and Enter",201
"299","Upper Hutt City","Abduction, Harassment and Other Related Offences Against a Person",6
"300","Upper Hutt City","Acts Intended to Cause Injury",404
"301","Upper Hutt City","Robbery, Extortion and Related Offences",24
"302","Upper Hutt City","Sexual Assault and Related Offences",49
"303","Upper Hutt City","Theft and Related Offences",935
"304","Upper Hutt City","Unlawful Entry With Intent/Burglary, Break and Enter",211
"305","Waikato District","Abduction, Harassment and Other Related Offences Against a Person",9
"306","Waikato District","Acts Intended to Cause Injury",590
"307","Waikato District","Robbery, Extortion and Related Offences",38
"308","Waikato District","Sexual Assault and Related Offences",54
"309","Waikato District","Theft and Related Offences",1091
"310","Waikato District","Unlawful Entry With Intent/Burglary, Break and Enter",653
"311","Waimakariri District","Acts Intended to Cause Injury",229
"312","Waimakariri District","Robbery, Extortion and Related Offences",28
"313","Waimakariri District","Sexual Assault and Related Offences",46
"314","Waimakariri District","Theft and Related Offences",799
"315","Waimakariri District","Unlawful Entry With Intent/Burglary, Break and Enter",299
"316","Waimate District","Acts Intended to Cause Injury",36
"317","Waimate District","Robbery, Extortion and Related Offences",2
"318","Waimate District","Sexual Assault and Related Offences",6
"319","Waimate District","Theft and Related Offences",30
"320","Waimate District","Unlawful Entry With Intent/Burglary, Break and Enter",58
"321","Waipa District","Acts Intended to Cause Injury",281
"322","Waipa District","Robbery, Extortion and Related Offences",21
"323","Waipa District","Sexual Assault and Related Offences",39
"324","Waipa District","Theft and Related Offences",944
"325","Waipa District","Unlawful Entry With Intent/Burglary, Break and Enter",400
"326","Wairoa District","Acts Intended to Cause Injury",143
"327","Wairoa District","Robbery, Extortion and Related Offences",3
"328","Wairoa District","Sexual Assault and Related Offences",7
"329","Wairoa District","Theft and Related Offences",81
"330","Wairoa District","Unlawful Entry With Intent/Burglary, Break and Enter",88
"331","Waitaki District","Acts Intended to Cause Injury",70
"332","Waitaki District","Robbery, Extortion and Related Offences",6
"333","Waitaki District","Sexual Assault and Related Offences",13
"334","Waitaki District","Theft and Related Offences",128
"335","Waitaki District","Unlawful Entry With Intent/Burglary, Break and Enter",102
"336","Waitomo District","Abduction, Harassment and Other Related Offences Against a Person",2
"337","Waitomo District","Acts Intended to Cause Injury",80
"338","Waitomo District","Robbery, Extortion and Related Offences",8
"339","Waitomo District","Sexual Assault and Related Offences",5
"340","Waitomo District","Theft and Related Offences",113
"341","Waitomo District","Unlawful Entry With Intent/Burglary, Break and Enter",87
"342","Whanganui District","Abduction, Harassment and Other Related Offences Against a Person",8
"343","Whanganui District","Acts Intended to Cause Injury",499
"344","Whanganui District","Robbery, Extortion and Related Offences",26
"345","Whanganui District","Sexual Assault and Related Offences",55
"346","Whanganui District","Theft and Related Offences",1044
"347","Whanganui District","Unlawful Entry With Intent/Burglary, Break and Enter",448
"348","Wellington City","Abduction, Harassment and Other Related Offences Against a Person",9
"349","Wellington City","Acts Intended to Cause Injury",1223
"350","Wellington City","Robbery, Extortion and Related Offences",111
"351","Wellington City","Sexual Assault and Related Offences",136
"352","Wellington City","Theft and Related Offences",4360
"353","Wellington City","Unlawful Entry With Intent/Burglary, Break and Enter",944
"354","Western Bay of Plenty District","Abduction, Harassment and Other Related Offences Against a Person",3
"355","Western Bay of Plenty District","Acts Intended to Cause Injury",310
"356","Western Bay of Plenty District","Robbery, Extortion and Related Offences",12
"357","Western Bay of Plenty District","Sexual Assault and Related Offences",40
"358","Western Bay of Plenty District","Theft and Related Offences",607
"359","Western Bay of Plenty District","Unlawful Entry With Intent/Burglary, Break and Enter",295
"360","Westland District","Acts Intended to Cause Injury",45
"361","Westland District","Robbery, Extortion and Related Offences",1
"362","Westland District","Sexual Assault and Related Offences",9
"363","Westland District","Theft and Related Offences",49
"364","Westland District","Unlawful Entry With Intent/Burglary, Break and Enter",31
"365","Whakatane District","Abduction, Harassment and Other Related Offences Against a Person",2
"366","Whakatane District","Acts Intended to Cause Injury",412
"367","Whakatane District","Robbery, Extortion and Related Offences",19
"368","Whakatane District","Sexual Assault and Related Offences",33
"369","Whakatane District","Theft and Related Offences",794
"370","Whakatane District","Unlawful Entry With Intent/Burglary, Break and Enter",307
"371","Whangarei District","Abduction, Harassment and Other Related Offences Against a Person",11
"372","Whangarei District","Acts Intended to Cause Injury",751
"373","Whangarei District","Robbery, Extortion and Related Offences",67
"374","Whangarei District","Sexual Assault and Related Offences",73
"375","Whangarei District","Theft and Related Offences",2259
"376","Whangarei District","Unlawful Entry With Intent/Burglary, Break and Enter",773
